Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,11,8,0,0,-13.057
2016,1,11,8,30,0,-12.902
2016,1,11,9,0,0,-12.841333
2016,1,11,9,30,0,-12.988
2016,1,11,10,0,0,-13.269667
2016,1,11,10,30,0,-13.523
2016,1,11,11,0,0,-13.454
2016,1,11,11,30,0,-13.2
2016,1,11,12,0,0,-13.064
2016,1,11,12,30,0,-12.849
2016,1,11,13,0,0,-12.612667
2016,1,11,13,30,0,-12.359667
2016,1,11,14,0,0,-12.248
2016,1,11,14,30,0,-12.25
2016,1,11,15,0,0,-12.414
2016,1,11,15,30,0,-12.519
2016,1,11,16,0,0,-12.477333
2016,1,11,16,30,0,-12.496333
2016,1,11,17,0,0,-12.511
2016,1,11,17,30,0,-12.502666
2016,1,11,18,0,0,-12.421
2016,1,11,18,30,0,-12.333667
2016,1,11,19,0,0,-12.304
2016,1,11,19,30,0,-12.272
2016,1,11,20,0,0,-12.188
2016,1,11,20,30,0,-12.134666
2016,1,11,21,0,0,-12.060667
2016,1,11,21,30,0,-12.031
2016,1,11,22,0,0,-12.066667
2016,1,11,22,30,0,-12.117333
2016,1,11,23,0,0,-12.193334
2016,1,11,23,30,0,-12.312667
2016,1,12,0,0,0,-12.423
2016,1,12,0,30,0,-12.473
2016,1,12,1,0,0,-12.364333
2016,1,12,1,30,0,-12.118333
2016,1,12,2,0,0,-11.921333
2016,1,12,2,30,0,-11.88
2016,1,12,3,0,0,-11.785334
2016,1,12,3,30,0,-11.681666
2016,1,12,4,0,0,-11.568666
2016,1,12,4,30,0,-11.396
2016,1,12,5,0,0,-10.974
2016,1,12,5,30,0,-10.556
2016,1,12,6,0,0,-10.165334
2016,1,12,6,30,0,-9.696667
2016,1,12,7,0,0,-9.759334
2016,1,12,7,30,0,-9.763
2016,1,12,8,0,0,-9.633667
2016,1,12,8,30,0,-9.717
2016,1,12,9,0,0,-9.897
2016,1,12,9,30,0,-10.184667
2016,1,12,10,0,0,-10.625
2016,1,12,10,30,0,-10.918333
2016,1,12,11,0,0,-10.9
2016,1,12,11,30,0,-10.79
2016,1,12,12,0,0,-10.7196665
2016,1,12,12,30,0,-10.793
2016,1,12,13,0,0,-10.833
2016,1,12,13,30,0,-10.757334
2016,1,12,14,0,0,-10.699
2016,1,12,14,30,0,-10.683
2016,1,12,15,0,0,-10.639334
2016,1,12,15,30,0,-10.593
2016,1,12,16,0,0,-10.602667
2016,1,12,16,30,0,-10.684334
2016,1,12,17,0,0,-10.736667
2016,1,12,17,30,0,-10.705
2016,1,12,18,0,0,-10.692667
2016,1,12,18,30,0,-10.698334
2016,1,12,19,0,0,-10.839334
2016,1,12,19,30,0,-10.940333
2016,1,12,20,0,0,-11.021
2016,1,12,20,30,0,-11.080334
2016,1,12,21,0,0,-11.138333
2016,1,12,21,30,0,-11.254
2016,1,12,22,0,0,-11.341333
2016,1,12,22,30,0,-11.426666
2016,1,12,23,0,0,-11.591333
2016,1,12,23,30,0,-11.765
2016,1,13,0,0,0,-11.945666
2016,1,13,0,30,0,-12.092
2016,1,13,1,0,0,-12.146667
2016,1,13,1,30,0,-12.061334
2016,1,13,2,0,0,-11.895333
2016,1,13,2,30,0,-11.883667
2016,1,13,3,0,0,-11.950334
2016,1,13,3,30,0,-11.913
2016,1,13,4,0,0,-12.152
2016,1,13,4,30,0,-12.470333
2016,1,13,5,0,0,-12.621
2016,1,13,5,30,0,-12.703
2016,1,13,6,0,0,-12.804334
2016,1,13,6,30,0,-12.827
2016,1,13,7,0,0,-12.904333
2016,1,13,7,30,0,-13.067667
2016,1,13,8,0,0,-13.136333
2016,1,13,8,30,0,-13.122
2016,1,13,9,0,0,-13.051
2016,1,13,9,30,0,-12.873333
2016,1,13,10,0,0,-12.636666
2016,1,13,10,30,0,-12.449333
2016,1,13,11,0,0,-12.4453335
2016,1,13,11,30,0,-12.425
2016,1,13,12,0,0,-12.403
2016,1,13,12,30,0,-12.317
2016,1,13,13,0,0,-12.273666
2016,1,13,13,30,0,-12.258333
2016,1,13,14,0,0,-12.3
2016,1,13,14,30,0,-12.337334
2016,1,13,15,0,0,-12.427333
2016,1,13,15,30,0,-12.464334
2016,1,13,16,0,0,-12.424
2016,1,13,16,30,0,-12.328667
2016,1,13,17,0,0,-12.253
2016,1,13,17,30,0,-12.180667
2016,1,13,18,0,0,-12.117333
2016,1,13,18,30,0,-11.997334
2016,1,13,19,0,0,-11.942333
2016,1,13,19,30,0,-11.879
2016,1,13,20,0,0,-11.868667
2016,1,13,20,30,0,-11.927
2016,1,13,21,0,0,-12.127666
2016,1,13,21,30,0,-12.269333
2016,1,13,22,0,0,-12.305667
2016,1,13,22,30,0,-12.316667
2016,1,13,23,0,0,-12.159
2016,1,13,23,30,0,-12.176333
2016,1,14,0,0,0,-12.263
2016,1,14,0,30,0,-12.459666
2016,1,14,1,0,0,-12.737667
2016,1,14,1,30,0,-13.034
2016,1,14,2,0,0,-13.147333
2016,1,14,2,30,0,-12.958333
2016,1,14,3,0,0,-12.742666
2016,1,14,3,30,0,-12.693666
2016,1,14,4,0,0,-12.877
2016,1,14,4,30,0,-12.943666
2016,1,14,5,0,0,-12.97
2016,1,14,5,30,0,-12.979667
2016,1,14,6,0,0,-13.012333
2016,1,14,6,30,0,-13.091666
2016,1,14,7,0,0,-13.068666
2016,1,14,7,30,0,-13.162666
2016,1,14,8,0,0,-13.163333
2016,1,14,8,30,0,-13.257667
2016,1,14,9,0,0,-13.291
2016,1,14,9,30,0,-13.381667
2016,1,14,10,0,0,-13.535334
2016,1,14,10,30,0,-13.566667
2016,1,14,11,0,0,-13.533667
2016,1,14,11,30,0,-13.468
2016,1,14,12,0,0,-13.266666
2016,1,14,12,30,0,-13.129666
2016,1,14,13,0,0,-13.080334
2016,1,14,13,30,0,-13.082334
2016,1,14,14,0,0,-13.112
2016,1,14,14,30,0,-13.122666
2016,1,14,15,0,0,-13.196
2016,1,14,15,30,0,-13.4123335
2016,1,14,16,0,0,-13.679
2016,1,14,16,30,0,-13.828667
2016,1,14,17,0,0,-14.064333
2016,1,14,17,30,0,-14.163333
2016,1,14,18,0,0,-14.14
2016,1,14,18,30,0,-14.322667
2016,1,14,19,0,0,-14.452666
2016,1,14,19,30,0,-14.614333
2016,1,14,20,0,0,-14.741333
2016,1,14,20,30,0,-14.909333
2016,1,14,21,0,0,-14.803
2016,1,14,21,30,0,-15.012667
2016,1,14,22,0,0,-15.111
2016,1,14,22,30,0,-15.046333
2016,1,14,23,0,0,-14.883333
2016,1,14,23,30,0,-14.685333
2016,1,15,0,0,0,-14.457666
2016,1,15,0,30,0,-14.211
2016,1,15,1,0,0,-14.036333
2016,1,15,1,30,0,-13.416
2016,1,15,2,0,0,-12.673667
2016,1,15,2,30,0,-12.377
2016,1,15,3,0,0,-11.883
2016,1,15,3,30,0,-11.308333
2016,1,15,4,0,0,-10.854333
2016,1,15,4,30,0,-10.434667
2016,1,15,5,0,0,-9.9696665
2016,1,15,5,30,0,-9.801666
2016,1,15,6,0,0,-9.633667
2016,1,15,6,30,0,-9.308333
2016,1,15,7,0,0,-8.997
2016,1,15,7,30,0,-8.916333
2016,1,15,8,0,0,-9.159667
2016,1,15,8,30,0,-9.328333
2016,1,15,9,0,0,-10.305667
2016,1,15,9,30,0,-11.006333
2016,1,15,10,0,0,-11.372666
2016,1,15,10,30,0,-11.823
2016,1,15,11,0,0,-12.375667
2016,1,15,11,30,0,-12.683666
2016,1,15,12,0,0,-12.785334
2016,1,15,12,30,0,-12.768
2016,1,15,13,0,0,-12.862
2016,1,15,13,30,0,-13.054334
2016,1,15,14,0,0,-13.464666
2016,1,15,14,30,0,-13.897667
2016,1,15,15,0,0,-14.202333
2016,1,15,15,30,0,-14.400666
2016,1,15,16,0,0,-15.162666
2016,1,15,16,30,0,-15.636
2016,1,15,17,0,0,-15.846
2016,1,15,17,30,0,-15.914
2016,1,15,18,0,0,-16.274334
2016,1,15,18,30,0,-16.512667
2016,1,15,19,0,0,-17.087667
2016,1,15,19,30,0,-17.325333
2016,1,15,20,0,0,-18.083
2016,1,15,20,30,0,-18.433666
2016,1,15,21,0,0,-18.772333
2016,1,15,21,30,0,-18.886333
2016,1,15,22,0,0,-18.672333
2016,1,15,22,30,0,-18.661
2016,1,15,23,0,0,-18.865
2016,1,15,23,30,0,-18.738667
2016,1,16,0,0,0,-18.389334
2016,1,16,0,30,0,-18.267666
2016,1,16,1,0,0,-17.552668
2016,1,16,1,30,0,-16.87
2016,1,16,2,0,0,-16.345333
2016,1,16,2,30,0,-16.431
2016,1,16,3,0,0,-15.813666
2016,1,16,3,30,0,-15.138
2016,1,16,4,0,0,-15.039
2016,1,16,4,30,0,-15.133
2016,1,16,5,0,0,-15.242
2016,1,16,5,30,0,-15.41
2016,1,16,6,0,0,-15.571333
2016,1,16,6,30,0,-15.757334
2016,1,16,7,0,0,-16.099667
2016,1,16,7,30,0,-16.284666
2016,1,16,8,0,0,-16.608334
2016,1,16,8,30,0,-16.632
2016,1,16,9,0,0,-16.807667
