Datenum RHTd Global Event NonEvent
730332 47.7723529411765 405.410294117647 0 1
730356 75.3486206896552 212.078965517241 1 0
730357 60.3496551724138 342.599655172414 1 0
730361 95.1817857142857 60.9503571428571 0 1
730363 82.0339285714286 159.086071428571 0 1
730364 76.3764285714286 262.609642857143 0 1
730372 49.7247368421053 332.330434782609 1 0
730374 53.3215384615385 314.050769230769 1 0
730376 59.0972 318.862 1 0
730378 47.332 319.2128 1 0
730379 56.08375 290.5804 1 0
730388 75.4113043478261 168.033913043478 0 1
730391 97.3575 34.8417391304348 0 1
730396 94.6385714285714 34.8704761904762 0 1
730397 95.8233333333333 66.3128571428572 0 1
730399 98.4582352941177 59.5109523809524 0 1
730405 93.715 54.9935 0 1
730408 77.5852631578947 101.088947368421 0 1
730410 81.7847368421053 82.2715789473684 0 1
730412 69.8657894736842 87.5989473684211 0 1
730416 81.7405555555555 112.349444444444 0 1
730417 82.4577777777778 78.6605555555556 0 1
730418 98.7133333333333 16.8516666666667 0 1
730421 95.3658823529412 36.1764705882353 0 1
730424 85.853125 25.858125 0 1
730434 90.6906666666667 74.3053333333333 0 1
730440 97.1221428571429 19.8414285714286 0 1
730441 93.9792307692308 19.8376923076923 0 1
730443 90.3816666666667 104.246153846154 0 1
730444 97.1361538461538 30.0876923076923 0 1
730445 97.3015384615385 14.6323076923077 0 1
730446 96.2090909090909 12.1353846153846 0 1
730447 96.2176923076923 38.1676923076923 0 1
730451 89.1841666666667 6.47833333333333 0 1
730456 79.8381818181818 66.5954545454545 0 1
730457 94.3109090909091 13.9881818181818 0 1
730458 92.1981818181818 5.11818181818182 0 1
730461 90.3554545454545 18.7809090909091 0 1
730463 93.5109090909091 13.1872727272727 0 1
730465 91.8127272727273 18.9418181818182 0 1
730466 91.651 6.19363636363636 0 1
730469 95.0954545454545 15.7718181818182 0 1
730470 96.2609090909091 24.6618181818182 0 1
730472 95.344 7.65 0 1
730473 88.604 10.973 0 1
730480 89.049 6.658 0 1
730482 90.729 4.422 0 1
730483 88.296 11.242 0 1
730484 96.671 13.333 0 1
730486 97.557 19.41 0 1
730487 97.16 6.84 0 1
730491 94.7491666666667 10.4641666666667 0 1
730502 69.9541666666667 38.77 1 0
730504 93.9246153846154 21.2869230769231 0 1
730505 95.9823076923077 29.6884615384615 0 1
730508 95.4778571428571 27.645 0 1
730510 94.28 17.1807142857143 0 1
730512 84.6628571428572 76.3371428571429 0 1
730514 NaN NaN 0 1
730515 95.494 18.148 0 1
730518 96.8273333333333 43.0046666666667 0 1
730523 94.26375 49.26625 0 1
730529 90.4370588235294 21.8564705882353 0 1
730531 90.4747058823529 51.1147058823529 0 1
730532 95.4722222222222 40.7633333333333 0 1
730533 96.1144444444445 23.7864285714286 0 1
730534 92.3233333333333 55.0794444444444 0 1
730537 95.8221052631579 112.838947368421 0 1
730538 97.6894736842105 95.6373684210526 0 1
730539 95.8373684210526 233.331578947368 0 1
730543 95.748 42.3405 0 1
730544 96.549 6.66 0 1
730546 88.1625 NaN 0 1
730547 87.797 NaN 0 1
730549 97.88 NaN 0 1
730551 95.7528571428572 NaN 0 1
730555 78.4290909090909 NaN 1 0
730556 72.8327272727273 275.756818181818 1 0
730557 56.0590909090909 278.703181818182 1 0
730558 90.7227272727273 66.2536363636364 0 1
730560 83.8586956521739 290.443913043478 1 0
730561 70.1714285714286 356.387222222222 1 0
730562 86.4386956521739 NaN 0 1
730563 88.5145833333333 NaN 0 1
730568 66.05125 220.141666666667 0 1
730569 50.5658333333333 308.3125 1 0
730570 53.3120833333333 260.865833333333 1 0
730572 49.3111538461539 338.492692307692 1 0
730574 43.006 315.076153846154 1 0
730577 70.0542307692308 182.75 0 1
730578 35.6756 292.424615384615 1 0
730580 82.3788461538462 177.124230769231 0 1
